name,FINISHED,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.l.v[X],axes.mach.l.v[Y],axes.mach.f.p[X],axes.mach.f.p[Y],axes.mach.f.v[X],axes.mach.f.v[Y]
units,sec,mm,mm,mm/min,mm/min,mm,mm,mm/min,mm/min
75,   0.411000,   -1077.779293,   -1265.604615,    3988.183737,       0.000000,   -1079.576254,   -1265.604615,       0.000000,       0.000000
76,   0.412000,   -1077.712655,   -1265.604615,    4004.878700,       0.000000,   -1079.552293,   -1265.604615,       0.000000,       0.000000
77,   0.413000,   -1077.645898,   -1265.604615,    4018.633515,       0.000000,   -1079.527020,   -1265.604615,       0.000000,       0.000000
78,   0.414000,   -1077.578783,   -1265.604615,    4029.448181,       0.000000,   -1079.500198,   -1265.604615,       0.000000,       0.000000
79,   0.415000,   -1077.511549,   -1265.604615,    4037.322700,       0.000000,   -1079.472184,   -1265.604615,       0.000000,       0.000000
80,   0.416000,   -1077.444196,   -1265.604615,    4042.257518,       0.000000,   -1079.442620,   -1265.604615,       0.000000,       0.000000
81,   0.417000,   -1077.376842,   -1265.604615,    4044.252634,       0.000000,   -1079.411745,   -1265.604615,       0.000000,       0.000000
82,   0.418000,   -1077.309370,   -1265.604615,    4043.307155,       0.000000,   -1079.379559,   -1265.604615,       0.000000,       0.000000
83,   0.419000,   -1077.242017,   -1265.604615,    4039.421976,       0.000000,   -1079.345822,   -1265.604615,       0.000000,       0.000000
84,   0.420000,   -1077.174783,   -1265.604615,    4032.596648,       0.000000,   -1079.310775,   -1265.604615,       0.000000,       0.000000
85,   0.421000,   -1077.107668,   -1265.604615,    4022.831619,       0.000000,   -1079.274416,   -1265.604615,       0.000000,       0.000000
86,   0.422000,   -1077.040672,   -1265.604615,    4010.125995,       0.000000,   -1079.236507,   -1265.604615,       0.000000,       0.000000
87,   0.423000,   -1076.974034,   -1265.604615,    3994.481117,       0.000000,   -1079.197288,   -1265.604615,       0.000000,       0.000000
88,   0.424000,   -1076.907635,   -1265.604615,    3975.895643,       0.000000,   -1079.156756,   -1265.604615,       0.000000,       0.000000
89,   0.425000,   -1076.841474,   -1265.604615,    3954.370469,       0.000000,   -1079.114795,   -1265.604615,       0.000000,       0.000000
90,   0.426000,   -1076.775789,   -1265.604615,    3929.905146,       0.000000,   -1079.071522,   -1265.604615,       0.000000,       0.000000
91,   0.427000,   -1076.710463,   -1265.604615,    3902.500123,       0.000000,   -1079.026937,   -1265.604615,       0.000000,       0.000000
92,   0.428000,   -1076.645732,   -1265.604615,    3872.154504,       0.000000,   -1078.981280,   -1265.604615,       0.000000,       0.000000
93,   0.429000,   -1076.581478,   -1265.604615,    3838.869631,       0.000000,   -1078.934312,   -1265.604615,       0.000000,       0.000000
94,   0.430000,   -1076.517820,   -1265.604615,    3802.644163,       0.000000,   -1078.885913,   -1265.604615,       0.000000,       0.000000
95,   0.431000,   -1076.454759,   -1265.604615,    3763.478994,       0.000000,   -1078.836322,   -1265.604615,       0.000000,       0.000000
96,   0.432000,   -1076.392293,   -1265.604615,    3721.373677,       0.000000,   -1078.785658,   -1265.604615,       0.000000,       0.000000
97,   0.433000,   -1076.330662,   -1265.604615,    3676.328436,       0.000000,   -1078.734040,   -1265.604615,       0.000000,       0.000000
98,   0.434000,   -1076.269865,   -1265.604615,    3628.343269,       0.000000,   -1078.681231,   -1265.604615,       0.000000,       0.000000
99,   0.435000,   -1076.209784,   -1265.604615,    3577.417955,       0.000000,   -1078.627467,   -1265.604615,       0.000000,       0.000000
