name,FINISHED,axes.mach.l.p[X],axes.mach.l.p[Y],axes.mach.l.p[C],axes.mach.f.p[X],axes.mach.f.p[Y],axes.mach.f.p[C]
units,sec,mm,mm,deg,mm,mm,deg
5602,   7.931000,     797.373295,    1264.548540,      96.519753,     828.577816,    1269.532561,     104.209132
5603,   7.932000,     796.555281,    1264.470458,      96.319758,     827.777863,    1269.361615,     104.009253
5604,   7.933000,     795.737028,    1264.394760,      96.119756,     826.976418,    1269.193053,     103.809129
5605,   7.934000,     794.918537,    1264.321685,      95.919755,     826.174378,    1269.026875,     103.609113
5606,   7.935000,     794.099748,    1264.250875,      95.719753,     825.371206,    1268.863082,     103.408921
5607,   7.936000,     793.280721,    1264.182687,      95.519758,     824.567974,    1268.701434,     103.209008
5608,   7.937000,     792.461455,    1264.116764,      95.319757,     823.764265,    1268.542409,     103.008494
5609,   7.938000,     791.642010,    1264.053464,      95.119755,     822.960258,    1268.386006,     102.808417
5610,   7.939000,     790.822327,    1263.992429,      94.919754,     822.155535,    1268.231869,     102.608136
5611,   7.940000,     790.002406,    1263.934016,      94.719752,     821.350634,    1268.080235,     102.408004
5612,   7.941000,     789.182305,    1263.877988,      94.519757,     820.544600,    1267.930984,     102.208146
5613,   7.942000,     788.361967,    1263.824344,      94.319756,     819.738686,    1267.784119,     102.008049
5614,   7.943000,     787.541509,    1263.773203,      94.119754,     818.931818,    1267.639756,     101.808068
5615,   7.944000,     786.720872,    1263.724566,      93.919752,     818.124592,    1267.497420,     101.608169
5616,   7.945000,     785.900056,    1263.678312,      93.719758,     817.317247,    1267.357588,     101.408276
5617,   7.946000,     785.079062,    1263.634562,      93.519756,     816.509247,    1267.220378,     101.208561
5618,   7.947000,     784.257889,    1263.593316,      93.319754,     815.700650,    1267.085314,     101.008717
5619,   7.948000,     783.436656,    1263.554454,      93.119753,     814.890265,    1266.952634,     100.808866
5620,   7.949000,     782.615244,    1263.518095,      92.919758,     814.080298,    1266.822338,     100.609014
5621,   7.950000,     781.793714,    1263.484120,      92.719757,     813.269794,    1266.694427,     100.409095
5622,   7.951000,     780.972064,    1263.452649,      92.519755,     812.460363,    1266.569018,     100.209230
5623,   7.952000,     780.150294,    1263.423562,      92.319753,     811.650276,    1266.446114,     100.009351
5624,   7.953000,     779.328465,    1263.396978,      92.119752,     810.839057,    1266.325712,      99.809336
5625,   7.954000,     778.506517,    1263.372898,      91.919757,     810.026586,    1266.207695,      99.609191
5626,   7.955000,     777.684510,    1263.351202,      91.719755,     809.214711,    1266.092181,      99.408895
5627,   7.956000,     776.862383,    1263.332009,      91.519754,     808.402419,    1265.979052,      99.208771
5628,   7.957000,     776.040256,    1263.315320,      91.319752,     807.589769,    1265.868425,      99.008564
5629,   7.958000,     775.218010,    1263.301015,      91.119757,     806.776285,    1265.760303,      98.808385
5630,   7.959000,     774.395764,    1263.289213,      90.919756,     805.961907,    1265.654683,      98.608349
5631,   7.960000,     773.573458,    1263.279796,      90.719754,     805.146992,    1265.551329,      98.408307
5632,   7.961000,     772.751153,    1263.272882,      90.519753,     804.332018,    1265.450239,      98.208387
5633,   7.962000,     771.928787,    1263.268471,      90.319758,     803.517759,    1265.351415,      98.008427
5634,   7.963000,     771.106422,    1263.266563,      90.119756,     802.703023,    1265.255094,      97.808726
5635,   7.964000,     770.284057,    1263.267040,      89.919755,     801.888049,    1265.161157,      97.608902
5636,   7.965000,     769.461691,    1263.269901,      89.719753,     801.072419,    1265.069842,      97.409071
5637,   7.966000,     768.639326,    1263.275266,      89.519758,     800.257027,    1264.980912,      97.209083
5638,   7.967000,     767.817020,    1263.283134,      89.319757,     799.440742,    1264.894485,      97.009348
5639,   7.968000,     766.994715,    1263.293505,      89.119755,     798.624039,    1264.810443,      96.809080
5640,   7.969000,     766.172469,    1263.306260,      88.919753,     797.806382,    1264.728785,      96.609180
5641,   7.970000,     765.350223,    1263.321519,      88.719752,     796.988726,    1264.649868,      96.409049
5642,   7.971000,     764.528096,    1263.339162,      88.519757,     796.171188,    1264.573574,      96.208699
5643,   7.972000,     763.706028,    1263.359308,      88.319755,     795.352995,    1264.499426,      96.008568
5644,   7.973000,     762.883961,    1263.381958,      88.119754,     794.534802,    1264.427662,      95.808109
5645,   7.974000,     762.062073,    1263.406992,      87.919752,     793.716073,    1264.358401,      95.608059
5646,   7.975000,     761.240184,    1263.434529,      87.719758,     792.897105,    1264.291644,      95.407887
5647,   7.976000,     760.418475,    1263.464451,      87.519756,     792.077780,    1264.227509,      95.207906
5648,   7.977000,     759.596825,    1263.496995,      87.319754,     791.259050,    1264.165521,      95.008054
5649,   7.978000,     758.775294,    1263.531804,      87.119753,     790.440083,    1264.105916,      94.808032
5650,   7.979000,     757.953882,    1263.569236,      86.919758,     789.621770,    1264.048815,      94.608270
5651,   7.980000,     757.132649,    1263.609052,      86.719756,     788.802207,    1263.994098,      94.408412
5652,   7.981000,     756.311536,    1263.651252,      86.519755,     787.982285,    1263.941884,      94.208717
5653,   7.982000,     755.490541,    1263.695955,      86.319753,     787.161946,    1263.892055,      94.009091
5654,   7.983000,     754.669726,    1263.743162,      86.119758,     786.341548,    1263.844609,      93.809247
5655,   7.984000,     753.849089,    1263.792753,      85.919757,     785.521328,    1263.799667,      93.609266
5656,   7.985000,     753.028631,    1263.844848,      85.719755,     784.700453,    1263.757229,      93.409373
